source resource id,source xpath,info of source event,target resource id,target xpath,info of target event,score
Registration Test Case,,,,,
com.contextlogic.geek:id/login_fragment_create_account_button,,,com.contextlogic.wish:id/sign_in_fragment_create_account_button,,,0.4384966065328936
com.contextlogic.geek:id/create_account_fragment_email_text,,,com.contextlogic.wish:id/create_account_fragment_email_text,,,0.61
com.contextlogic.geek:id/create_account_fragment_confirm_email_text,,,com.contextlogic.wish:id/create_account_fragment_email_text,,,0.4935283914529055
com.contextlogic.geek:id/create_account_fragment_password_text,,,com.contextlogic.wish:id/create_account_fragment_password_text,,,0.48
com.contextlogic.geek:id/create_account_fragment_last_name_text,,,com.contextlogic.wish:id/create_account_fragment_last_name_text,,,0.675
com.contextlogic.geek:id/create_account_fragment_first_name_text,,,com.contextlogic.wish:id/create_account_fragment_first_name_text,,,0.61
com.contextlogic.geek:id/create_account_fragment_create_account_button,,,com.contextlogic.wish:id/create_account_fragment_create_account_button,,,0.61
com.contextlogic.geek:id/signup_category_fragment_next_button,,next button after picking category,com.contextlogic.wish:id/reward_dashboard_no_coupon_button,,,0.30051449120424706
com.contextlogic.geek:id/menu_profile_name,,,com.contextlogic.wish:id/menu_profile_name,,,0.45163192594426643
Login Test Case,,,,,
com.contextlogic.geek:id/login_fragment_sign_in_button,,,com.contextlogic.wish:id/sign_in_fragment_sign_in_button,,,0.46798546505385596
com.contextlogic.geek:id/sign_in_fragment_password_text,,,com.contextlogic.wish:id/sign_in_fragment_password_text,,,0.61
com.contextlogic.geek:id/sign_in_fragment_email_text,,,com.contextlogic.wish:id/sign_in_fragment_email_text,,,0.61
com.contextlogic.geek:id/sign_in_fragment_sign_in_button,,,com.contextlogic.wish:id/sign_in_fragment_sign_in_button,,,0.61
com.contextlogic.geek:id/menu_profile_name,,,com.contextlogic.wish:id/menu_profile_name,,,0.61