id,xpath,class,canonical,current Activity,next Activity,type,additional info
,"//android.widget.ImageButton[@content-desc=""Open Menu""]",,menu,.activities.HomepageActivity
com.thomsonreuters.reuters:id/menu_actionbar_homepage_search_button,,,tosearch,.activities.HomepageActivity
com.thomsonreuters.reuters:id/menu_search_text,,,search_bar,.activities.HomepageActivity,,input
,/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.support.v4.widget.DrawerLayout/android.widget.FrameLayout/android.view.ViewGroup/android.widget.ViewFlipper/android.view.ViewGroup/android.support.v7.widget.RecyclerView/android.widget.FrameLayout[1]/android.widget.RelativeLayout/android.widget.FrameLayout/android.widget.RelativeLayout/android.widget.LinearLayout,,item_1,.activities.HomepageActivity
com.thomsonreuters.reuters:id/menu_save,,,save_bookmark,.activities.HomepageActivity
,"//android.widget.ImageButton[@content-desc=""Navigate up""]",,back,.activities.HomepageActivity
,/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.support.v4.widget.DrawerLayout/android.widget.FrameLayout[2]/android.widget.LinearLayout/android.widget.ExpandableListView/android.widget.FrameLayout[7],,menu_bookmark,.activities.HomepageActivity
,/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.support.v4.widget.DrawerLayout/android.widget.FrameLayout/android.widget.ViewFlipper/android.view.ViewGroup/android.widget.ViewFlipper/android.view.ViewGroup/android.support.v7.widget.RecyclerView/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.RelativeLayout/android.widget.FrameLayout/android.widget.RelativeLayout/android.widget.LinearLayout,,item_1,.activities.HomepageActivity
,"/android.widget.TextView[@content-desc=""Save""]",,remove_bookmark,.activities.HomepageActivity
com.thomsonreuters.reuters:id/stream_large_item_view_image,,,item_1,.activities.HomepageActivity
,"//android.widget.ImageView[@content-desc=""More options""]",,menu_more,.activities.HomepageActivity
,/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.ListView/android.widget.LinearLayout[1],,menu_textsize,.activities.HomepageActivity
,/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.support.v4.widget.DrawerLayout/android.widget.FrameLayout[2]/android.widget.LinearLayout/android.widget.ExpandableListView/android.widget.FrameLayout[9],,menu_settings,.activities.HomepageActivity,.activities.SettingsActivity
,/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.support.v4.widget.DrawerLayout/android.widget.FrameLayout[2]/android.widget.LinearLayout/android.widget.ExpandableListView/android.widget.RelativeLayout[1],,category,.activities.HomepageActivity
com.thomsonreuters.reuters:id/list_item_collection_name,,,cat_1,.activities.HomepageActivity
com.thomsonreuters.reuters:id/settings_contact_us,,,contact,.activities.SettingsActivity
com.thomsonreuters.reuters:id/settings_list_item_option,,,legal,.activities.SettingsActivity